s.no,academic_year,branch_id,branch_name,college_type,sem,college_id,college_code,college_name,venue,college_schedule_type,skill_offering_id,course_name,training_partner_id,training_partner_name,planned_week,session1_date,session1_time,session1_duration,session1_trainer,session1_trainer_profile,session1_head_count,session1_status,session2_date,session2_time,session2_duration,session2_trainer,session2_trainer_profile,session2_head_count,session2_status
81,2024-2025,37,B.Tech Information Technology,,6,918,8100,"University College of Engineering, BIT Campus, Trichy","University College of Engineering, BIT Campus, Trichy",HUB,2938,AI and Green Skills,228,SHELL - EDUNET,1,,,,,,,,,,,,,,
82,2024-2025,37,B.Tech Information Technology,,6,918,8100,"University College of Engineering, BIT Campus, Trichy","University College of Engineering, BIT Campus, Trichy",HUB,2938,AI and Green Skills,228,SHELL - EDUNET,2,,,,,,,,,,,,,,
83,2024-2025,37,B.Tech Information Technology,,6,918,8100,"University College of Engineering, BIT Campus, Trichy","University College of Engineering, BIT Campus, Trichy",HUB,2938,AI and Green Skills,228,SHELL - EDUNET,3,,,,,,,,,,,,,,
84,2024-2025,37,B.Tech Information Technology,,6,918,8100,"University College of Engineering, BIT Campus, Trichy","University College of Engineering, BIT Campus, Trichy",HUB,2938,AI and Green Skills,228,SHELL - EDUNET,4,,,,,,,,,,,,,,
85,2024-2025,37,B.Tech Information Technology,,6,918,8100,"University College of Engineering, BIT Campus, Trichy","University College of Engineering, BIT Campus, Trichy",HUB,2938,AI and Green Skills,228,SHELL - EDUNET,5,,,,,,,,,,,,,,
86,2024-2025,37,B.Tech Information Technology,,6,918,8100,"University College of Engineering, BIT Campus, Trichy","University College of Engineering, BIT Campus, Trichy",HUB,2938,AI and Green Skills,228,SHELL - EDUNET,6,,,,,,,,,,,,,,
87,2024-2025,37,B.Tech Information Technology,,6,918,8100,"University College of Engineering, BIT Campus, Trichy","University College of Engineering, BIT Campus, Trichy",HUB,2938,AI and Green Skills,228,SHELL - EDUNET,7,,,,,,,,,,,,,,
88,2024-2025,37,B.Tech Information Technology,,6,918,8100,"University College of Engineering, BIT Campus, Trichy","University College of Engineering, BIT Campus, Trichy",HUB,2938,AI and Green Skills,228,SHELL - EDUNET,8,,,,,,,,,,,,,,
89,2024-2025,37,B.Tech Information Technology,,6,918,8100,"University College of Engineering, BIT Campus, Trichy","University College of Engineering, BIT Campus, Trichy",HUB,2938,AI and Green Skills,228,SHELL - EDUNET,9,,,,,,,,,,,,,,
90,2024-2025,37,B.Tech Information Technology,,6,918,8100,"University College of Engineering, BIT Campus, Trichy","University College of Engineering, BIT Campus, Trichy",HUB,2938,AI and Green Skills,228,SHELL - EDUNET,10,,,,,,,,,,,,,,
91,2024-2025,37,B.Tech Information Technology,,6,949,8131,Pavendar Bharathidasan College of Engineering and Technology,Pavendar Bharathidasan College of Engineering and Technology,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,1,,,,,,,,,,,,,,
92,2024-2025,37,B.Tech Information Technology,,6,949,8131,Pavendar Bharathidasan College of Engineering and Technology,Pavendar Bharathidasan College of Engineering and Technology,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,2,,,,,,,,,,,,,,
93,2024-2025,37,B.Tech Information Technology,,6,949,8131,Pavendar Bharathidasan College of Engineering and Technology,Pavendar Bharathidasan College of Engineering and Technology,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,3,,,,,,,,,,,,,,
94,2024-2025,37,B.Tech Information Technology,,6,949,8131,Pavendar Bharathidasan College of Engineering and Technology,Pavendar Bharathidasan College of Engineering and Technology,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,4,,,,,,,,,,,,,,
95,2024-2025,37,B.Tech Information Technology,,6,949,8131,Pavendar Bharathidasan College of Engineering and Technology,Pavendar Bharathidasan College of Engineering and Technology,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,5,,,,,,,,,,,,,,
96,2024-2025,37,B.Tech Information Technology,,6,949,8131,Pavendar Bharathidasan College of Engineering and Technology,Pavendar Bharathidasan College of Engineering and Technology,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,6,,,,,,,,,,,,,,
97,2024-2025,37,B.Tech Information Technology,,6,949,8131,Pavendar Bharathidasan College of Engineering and Technology,Pavendar Bharathidasan College of Engineering and Technology,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,7,,,,,,,,,,,,,,
